textgrid_gretil_item_id,title,author,collection,work_uri,edition_uri,text_uri,handle_pid,license_url,license_statement,rights_holder,rights_lane,agent_can_index_now,source_url,next_action
TG-GRE-0578,Mahāsudarśanāvadāna,,Darśana Collection,textgrid:49n46.0,textgrid:49n48.0,textgrid:49n47.0,handle:hdl:21.11113/0000-0016-CE93-A,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n48.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0579,Sarvamatasaṃgraha,,Darśana Collection,textgrid:49n49.0,textgrid:49n4c.0,textgrid:49n4b.0,handle:hdl:21.11113/0000-0016-CE96-7,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n4c.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0580,Caturdharmanirdeśasūtra,,Darśana Collection,textgrid:49n4d.0,textgrid:49n4g.0,textgrid:49n4f.0,handle:hdl:21.11113/0000-0016-CE99-4,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n4g.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0581,Yaśodharācarita,Davuldeṇa Jñāneśvara Mahāsthavira,Darśana Collection,textgrid:49n4h.0,textgrid:49n4k.0,textgrid:49n4j.0,handle:hdl:21.11113/0000-0016-CE9C-1,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n4k.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0582,Daśabalasūtra 1-4,,Darśana Collection,textgrid:49n4m.0,textgrid:49n4p.0,textgrid:49n4n.0,handle:hdl:21.11113/0000-0016-CE9F-E,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n4p.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0583,"Daśasāhasrikā prajñāpāramitā, 1 and 2 translated from Tibetan",,Darśana Collection,textgrid:49n4q.0,textgrid:49n4s.0,textgrid:49n4r.0,handle:hdl:21.11113/0000-0016-CEA2-9,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n4s.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0584,Devatāsūtra and Alpadevatāsūtra,,Darśana Collection,textgrid:49n4t.0,textgrid:49n4w.0,textgrid:49n4v.0,handle:hdl:21.11113/0000-0016-CEA5-6,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n4w.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0585,Hetubindu,Dharmakīrti,Darśana Collection,textgrid:49n4x.0,textgrid:49n50.0,textgrid:49n4z.0,handle:hdl:21.11113/0000-0016-CEA8-3,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n50.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0586,Nyāyabindu,Dharmakīrti,Darśana Collection,textgrid:49n51.0,textgrid:49n53.0,textgrid:49n52.0,handle:hdl:21.11113/0000-0016-CEAB-0,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n53.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0587,Nyāyabinduprakaraṇakārikā,Dharmakīrti,Darśana Collection,textgrid:49n54.0,textgrid:49n56.0,textgrid:49n55.0,handle:hdl:21.11113/0000-0016-CEAE-D,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n56.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0588,Pramāṇaviniścaya-fragment,Dharmakīrti,Darśana Collection,textgrid:49n57.0,textgrid:49n59.0,textgrid:49n58.0,handle:hdl:21.11113/0000-0016-CEB1-8,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n59.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0589,Saṃbandhaparīkṣā with Prabhacandra's commentary.,Dharmakīrti,Darśana Collection,textgrid:49n5b.0,textgrid:49n5d.0,textgrid:49n5c.0,handle:hdl:21.11113/0000-0016-CEB4-5,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n5d.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0590,Saṃtānāntarasiddhi,Dharmakīrti,Darśana Collection,textgrid:49n5f.0,textgrid:49n5h.0,textgrid:49n5g.0,handle:hdl:21.11113/0000-0016-CEB7-2,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n5h.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0591,Subandhaparīkṣā 1-25,Dharmakīrti,Darśana Collection,textgrid:49n5j.0,textgrid:49n5m.0,textgrid:49n5k.0,handle:hdl:21.11113/0000-0016-CEBA-F,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n5m.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0592,Dhvajāgrakeyūrādhāriṇī,,Darśana Collection,textgrid:49n5n.0,textgrid:49n5q.0,textgrid:49n5p.0,handle:hdl:21.11113/0000-0016-CEBD-C,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n5q.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0593,Dhvajāgrakeyūrādhāriṇī,,Darśana Collection,textgrid:49n5r.0,textgrid:49n5t.0,textgrid:49n5s.0,handle:hdl:21.11113/0000-0016-CEC0-7,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n5t.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0594,Dhvajāgrasūtra,,Darśana Collection,textgrid:49n5v.0,textgrid:49n5x.0,textgrid:49n5w.0,handle:hdl:21.11113/0000-0016-CEC3-4,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n5x.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0595,Prajñāpāramitāpiṇḍārtha,Dignāga,Darśana Collection,textgrid:49n5z.0,textgrid:49n61.0,textgrid:49n60.0,handle:hdl:21.11113/0000-0016-CEC6-1,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n61.0,Keep restricted; obtain permission or exclude from public/commercial use.
TG-GRE-0596,Yogāvatāra,Dignāga,Darśana Collection,textgrid:49n62.0,textgrid:49n64.0,textgrid:49n63.0,handle:hdl:21.11113/0000-0016-CEC9-E,https://creativecommons.org/licenses/by-nc-sa/4.0/,Distributed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.,GRETIL project,NONCOMMERCIAL_RESTRICTED,False,https://textgridrep.org/browse/textgrid:49n64.0,Keep restricted; obtain permission or exclude from public/commercial use.
