carrier_id,textgrid_gretil_item_id,textgrid_uri,handle_pid,format,repository_extent,repository_digest_algorithm,repository_md5,relative_path,acquired,local_bytes,sha256,local_md5,repository_md5_match,xml_well_formed,tei_root,tei_xml_id,tei_license_urls,download_error
TG-GRE-C-0268,TG-GRE-0268,textgrid:49m14.0,handle:hdl:21.11113/0000-0016-CAEE-9,TEI_XML,139867,md5,0cd33bf699660bf5b4028dcb7ca25956,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m14_0.xml,True,139867,b5474f6d0f637417f69fa65e0f9d9a2169c8abe5bbf0cd161fdc70d068d7f4c2,0cd33bf699660bf5b4028dcb7ca25956,True,True,TEI,sa_bhAmaha-kAvyAlaMkAra,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0269,TG-GRE-0269,textgrid:49m17.0,handle:hdl:21.11113/0000-0016-CAF1-4,TEI_XML,727503,md5,a1048472cb06131c72548901f9981c7a,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m17_0.xml,True,727503,170bf1502d2962914e28998de6b3ea3a3f223c8c6e88464ba992d4c1606c518b,a1048472cb06131c72548901f9981c7a,True,True,TEI,sa_bharata-nATyazAstra-1-1618-303335-37,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0270,TG-GRE-0270,textgrid:49m1b.0,handle:hdl:21.11113/0000-0016-CAF4-1,TEI_XML,702047,md5,24c99cbb36fa3c39ca33c636d57e0420,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m1b_0.xml,True,702047,91920c0cb41163d46e7f5b100cfb9863affff9cc87f2da3d658e2e01d4772b92,24c99cbb36fa3c39ca33c636d57e0420,True,True,TEI,sa_bhAravi-kirAtArjunIya,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0271,TG-GRE-0271,textgrid:49m1f.0,handle:hdl:21.11113/0000-0016-CAF7-E,TEI_XML,33818,md5,f94331b281e45ae9edf11ddb3c40205a,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m1f_0.xml,True,33818,140b9a6de993a64cb059f30e93c5dc8a3d876b2ed89445f53cf7fc94b936b777,f94331b281e45ae9edf11ddb3c40205a,True,True,TEI,sa_bhAsa-dUtavAkya,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0272,TG-GRE-0272,textgrid:49m1j.0,handle:hdl:21.11113/0000-0016-CAFA-B,TEI_XML,108667,md5,f8de962b540f190a906a40d533bc1eb0,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m1j_0.xml,True,108667,0100119b168ab045ebfef8c3f07929bfa9b9d1ed2151555524f92e3bb58856e7,f8de962b540f190a906a40d533bc1eb0,True,True,TEI,sa_bhAsa-svapnavAsavadatta,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0273,TG-GRE-0273,textgrid:49m1n.0,handle:hdl:21.11113/0000-0016-CAFD-8,TEI_XML,99700,md5,c92e422fbe0307a553154fdd60879060,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m1n_0.xml,True,99700,39bfbe242052260af5e1dca49748e3105f28038f189284e42df231405c0b05cf,c92e422fbe0307a553154fdd60879060,True,True,TEI,sa_bhatRhari-zatakatraya,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0274,TG-GRE-0274,textgrid:49m1r.0,handle:hdl:21.11113/0000-0016-CB00-3,TEI_XML,227748,md5,b657e8a9e61624c8100a6befca2fb5f3,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m1r_0.xml,True,227748,55392bd213b6857f3e9bbf76ec3d260bee0506422b2dc893de3a7c36302f8991,b657e8a9e61624c8100a6befca2fb5f3,True,True,TEI,sa_bhaTTanArAyaNa-veNIsaMhAra,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0275,TG-GRE-0275,textgrid:49m1v.0,handle:hdl:21.11113/0000-0016-CB03-0,TEI_XML,362968,md5,6b631c8145bd60e57a18175f9f1d47b7,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m1v_0.xml,True,362968,16b85c8397734b00dbec3698fa4b6c61a891f79d42396074d4e66db580fbd67b,6b631c8145bd60e57a18175f9f1d47b7,True,True,TEI,sa_bhaTTi-rAvaNavadha,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0276,TG-GRE-0276,textgrid:49m1z.0,handle:hdl:21.11113/0000-0016-CB06-D,TEI_XML,47972,md5,599c60ddc2c153fa7ab002c4b1db3ce0,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m1z_0.xml,True,47972,a345e6b8564bf9b750e9eeda1fd32c8397f608eb2bfb6e523a8af3c0dadb4ca7,599c60ddc2c153fa7ab002c4b1db3ce0,True,True,TEI,sa_bilhaNa-caurapaJcAzikA,https://creativecommons.org/licenses/by-nc-sa/4.0/,
TG-GRE-C-0277,TG-GRE-0277,textgrid:49m22.0,handle:hdl:21.11113/0000-0016-CB09-A,TEI_XML,2728020,md5,6339c2a8314f90331c3b5e7f890bb641,acquisitions\staging\textgrid-gretil\2026-07-12\payload\textgrid_49m22_0.xml,True,2728020,08fc792b07e668616668b3ecb304df7d76ff5d31170187542ecb0c5b59b16e8c,6339c2a8314f90331c3b5e7f890bb641,True,True,TEI,sa_buddhasvAmin-bRhatkathAzlokasaMgraha,https://creativecommons.org/licenses/by-nc-sa/4.0/,
