url,path,http_status,content_type,bytes,sha256
https://library.cict.in/41-23-inna.html,acquisitions\staging\cict\2026-07-12\evidence\category-23.html,200,text/html,24515,c87486525c5a2f6c35df3f5d61ee60c8882398c792bc0fac671335723ac33fc1
https://library.cict.in/41-24-iniyavai.html,acquisitions\staging\cict\2026-07-12\evidence\category-24.html,200,text/html,25372,c2c3df8b8bb291cf335cd86d800882faaaf3abb3692f42aec7f5392b288ef120
https://library.cict.in/41-25-kaar.html,acquisitions\staging\cict\2026-07-12\evidence\category-25.html,200,text/html,25682,3e153e7d62947157b00bf2d82a0e3796c2a44adfd45da4333389a87ecdcf31b4
https://library.cict.in/41-26-kala.html,acquisitions\staging\cict\2026-07-12\evidence\category-26.html,200,text/html,24728,ca19807447e29d246af1253a37aee45ef409a0bc6c4aebaf677001625d049065
https://library.cict.in/41-27-ain50.html,acquisitions\staging\cict\2026-07-12\evidence\category-27.html,200,text/html,22717,dca6e909676b3d839e271f4c4c121487691a2bcce2b0430a269c462e8c9b0158
https://library.cict.in/41-28-ain70.html,acquisitions\staging\cict\2026-07-12\evidence\category-28.html,200,text/html,23054,47e1b9792ccf4e4b58d08f74764b90eb90be19a6696f5d0335cde2a738ebdac8
https://library.cict.in/41-29-tinai50.html,acquisitions\staging\cict\2026-07-12\evidence\category-29.html,200,text/html,23101,9eb6484b5f55773575cbdf0c3c17ce0573aa05a9f222afd9d9c71ebe46cdbad5
https://library.cict.in/41-30-tinaim150.html,acquisitions\staging\cict\2026-07-12\evidence\category-30.html,200,text/html,22555,2ea577581772458a0e4f76f04a431d31641b4e1a92cc0c588b88b71be2531216
https://library.cict.in/41-31-tiruk.html,acquisitions\staging\cict\2026-07-12\evidence\category-31.html,200,text/html,34924,97e7d171f7e6dcc162f482fda063d06d72a4c08c3f6a8b840cf38d0e22f1b5bb
https://library.cict.in/41-32-tirik.html,acquisitions\staging\cict\2026-07-12\evidence\category-32.html,200,text/html,24241,01efb7cf0890bfe0d483010443f29dfcb57bb953eef5309644fe3a4347cb0bd4
https://library.cict.in/41-33-asar.html,acquisitions\staging\cict\2026-07-12\evidence\category-33.html,200,text/html,23556,7ec420f4653a25b880947e213755b59f5959af208bcfb1d0d4dc778d61c89dad
https://library.cict.in/41-34-pala.html,acquisitions\staging\cict\2026-07-12\evidence\category-34.html,200,text/html,24443,117135b9c930cff86586184e801c8355d2d20c1cb26b22b1c3203b5b91d38119
https://library.cict.in/41-35-siru.html,acquisitions\staging\cict\2026-07-12\evidence\category-35.html,200,text/html,24045,5696f0c9cf7236f66d9b47d52f8419edbcb35ef66c24f92884847dbc9f2737d6
https://library.cict.in/41-36-mudhu.html,acquisitions\staging\cict\2026-07-12\evidence\category-36.html,200,text/html,24057,d9ff35ab3531b151c0a0e9a9f69bcb90f970b031cc15db3834866391e3c5d48a
https://library.cict.in/41-37-elati.html,acquisitions\staging\cict\2026-07-12\evidence\category-37.html,200,text/html,23833,85807de3f1d242e2ed1a891638d1f45f5768f0aad5c0f4a2d21619cd5d25c53d
https://library.cict.in/41-38-kain.html,acquisitions\staging\cict\2026-07-12\evidence\category-38.html,200,text/html,22602,17f38f3830677844c45ecc39fb9c92373a83b108c826af94537dc0ab8c044b25
https://library.cict.in/41-39-silap.html,acquisitions\staging\cict\2026-07-12\evidence\category-39.html,200,text/html,35859,5b486836a7466f93c8e115babaa480d4b5284913803f4bb22b2296615280351e
https://library.cict.in/41-40-manim.html,acquisitions\staging\cict\2026-07-12\evidence\category-40.html,200,text/html,26575,f8f6e46d3dfb0a0b7bd3f039ce16dadda94ce8bc2615ee497a97e8bab7dba55c
https://library.cict.in/41-41-muthol.html,acquisitions\staging\cict\2026-07-12\evidence\category-41.html,200,text/html,25842,6d03f9026b9f0f070a5ea1b460bce827ca5f5fd2e4efffa52b7b0489ed15faff
https://library.cict.in/41-42-irai.html,acquisitions\staging\cict\2026-07-12\evidence\category-42.html,200,text/html,25686,442968ad546985de51b62ef3a425a037e7d7d59af3ba3ae455682827a24cd8b8
https://library.cict.in/41-43-oths.html,acquisitions\staging\cict\2026-07-12\evidence\category-43.html,200,text/html,28173,0f81f1f5c634da79471bbd4284781d967f5c1c4a90f0b3a8455a70e2b9f4818c
https://sanskritdocuments.org/,acquisitions\staging\sanskrit-documents\2026-07-12\evidence\home.html,200,text/html; charset=UTF-8,34370,d1a3e1e8a7eff48faaf0c6931774335c50f246757a5081512b575d227a7b0bf7
https://sanskritdocuments.org/faq/,acquisitions\staging\sanskrit-documents\2026-07-12\evidence\faq.html,200,text/html; charset=UTF-8,213732,e215c53a9a2ac3c04f51484e2e373e51f8b23def0ca6913edee8486f497128e0
https://sanskritdocuments.org/robots.txt,acquisitions\staging\sanskrit-documents\2026-07-12\evidence\robots.txt,200,text/plain; charset=utf-8,345,6343f1e8ce9f7e51165511b9549339c817d898c1e541e8941d5ebf30c46437b1
